CVE_ID,Description,Cause1,Cause2,Location,Version,Attacker,Operation,Consequence
CVE-2018-8828,"A Buffer Overflow issue was discovered in Kamailio before 4.4.7, 5.0.x before 5.0.6, and 5.1.x before 5.1.2. A specially crafted REGISTER message with a malformed branch or From tag triggers an off-by-one heap-based buffer overflow in the tmx_check_pretran function in modules/tmx/tmx_pretran.c.",A Buffer Overflow issue,,the tmx_check_pretran function in modules/tmx/tmx_pretran.c,"Kamailio before 4.4.7, 5.0.x before 5.0.6, and 5.1.x before 5.1.2",,A specially crafted REGISTER message with a malformed branch or From tag,an off-by-one heap-based buffer overflow
CVE-2020-11088,"In FreeRDP less than or equal to 2.0.0, there is an out-of-bound read in ntlm_read_NegotiateMessage. This has been fixed in 2.1.0.",an out-of-bound read,,ntlm_read_NegotiateMessage,FreeRDP less than or equal to 2.0.0,,,
CVE-2018-11381,The string_scan_range() function in radare2 2.5.0 allows remote attackers to cause a denial of service (heap-based out-of-bounds read and application crash) via a crafted binary file.,,,The string_scan_range() function,radare2 2.5.0,remote attackers,a crafted binary file,a denial of service (heap-based out-of-bounds read and application crash)
CVE-2017-7572,"The _checkPolkitPrivilege function in serviceHelper.py in Back In Time (aka backintime) 1.1.18 and earlier uses a deprecated polkit authorization method (unix-process) that is subject to a race condition (time of check, time of use). With this authorization method, the owner of a process requesting a polkit operation is checked by polkitd via /proc/<pid>/status, by which time the requesting process may have been replaced by a different process with the same PID that has different privileges then the original requester.","uses a deprecated polkit authorization method (unix-process) that is subject to a race condition (time of check, time of use)",,The _checkPolkitPrivilege function in serviceHelper.py,Back In Time (aka backintime) 1.1.18 and earlier,,/proc/<pid>/status,
CVE-2011-4326,"The udp6_ufo_fragment function in net/ipv6/udp.c in the Linux kernel before 2.6.39, when a certain UDP Fragmentation Offload (UFO) configuration is enabled, allows remote attackers to cause a denial of service (system crash) by sending fragmented IPv6 UDP packets to a bridge device.",,,The udp6_ufo_fragment function in net/ipv6/udp.c,the Linux kernel before 2.6.39,remote attackers,sending fragmented IPv6 UDP packets to a bridge device,a denial of service (system crash)
CVE-2020-15888,"Lua through 5.4.0 mishandles the interaction between stack resizes and garbage collection, leading to a heap-based buffer overflow, heap-based buffer over-read, or use-after-free.",mishandles the interaction between stack resizes and garbage collection,,,Lua through 5.4.0,,,"a heap-based buffer overflow, heap-based buffer over-read, or use-after-free"
CVE-2017-12898,The NFS parser in tcpdump before 4.9.2 has a buffer over-read in print-nfs.c:interp_reply().,a buffer over-read,,The NFS parser,tcpdump before 4.9.2,,,
CVE-2015-8877,"The gdImageScaleTwoPass function in gd_interpolation.c in the GD Graphics Library (aka libgd) before 2.2.0, as used in PHP before 5.6.12, uses inconsistent allocate and free approaches, which allows remote attackers to cause a denial of service (memory consumption) via a crafted call, as demonstrated by a call to the PHP imagescale function.",uses inconsistent allocate and free approaches,,The gdImageScaleTwoPass function in gd_interpolation.c in the GD Graphics Library (aka libgd) before 2.2.0,PHP before 5.6.12,remote attackers,a crafted call,a denial of service (memory consumption)
CVE-2021-26746,Chamilo 1.11.14 allows XSS via a main/calendar/agenda_list.php?type= URI.,,,,Chamilo 1.11.14,,a main/calendar/agenda_list.php?type= URI,XSS
CVE-2017-9694,"While parsing Netlink attributes in QCA_WLAN_VENDOR_ATTR_EXTSCAN_BSSID_HOTLIST_PARAMS_LOST_AP_SAMPLE_SIZE in qcacld 2.0 before 2017-05-16, a buffer overread could occur.",a buffer overread,,,qcacld 2.0 before 2017-05-16,,,
CVE-2012-3832,Cross-site scripting (XSS) vulnerability in decoda/Decoda.php in Decoda before 3.2 allows remote attackers to inject arbitrary web script or HTML via vectors related to (1) b or (2) div tags.,Cross-site scripting (XSS) vulnerability,,decoda/Decoda.php,Decoda before 3.2,remote attackers,vectors related to (1) b or (2) div tags,inject arbitrary web script or HTML
CVE-2016-8655,"Race condition in net/packet/af_packet.c in the Linux kernel through 4.8.12 allows local users to gain privileges or cause a denial of service (use-after-free) by leveraging the CAP_NET_RAW capability to change a socket version, related to the packet_set_ring and packet_setsockopt functions.",Race condition,,net/packet/af_packet.c,the Linux kernel through 4.8.12,local users,leveraging the CAP_NET_RAW capability to change a socket version,gain privileges or cause a denial of service (use-after-free)
CVE-2012-2359,"admin/roles/override.php in Moodle 2.0.x before 2.0.9, 2.1.x before 2.1.6, and 2.2.x before 2.2.3 allows remote authenticated users to gain privileges by leveraging the teacher role and modifying their own capabilities, as demonstrated by obtaining the backup:userinfo capability.",,,admin/roles/override.php,"Moodle 2.0.x before 2.0.9, 2.1.x before 2.1.6, and 2.2.x before 2.2.3",remote authenticated users,leveraging the teacher role and modifying their own capabilities,gain privileges
CVE-2016-2148,Heap-based buffer overflow in the DHCP client (udhcpc) in BusyBox before 1.25.0 allows remote attackers to have unspecified impact via vectors involving OPTION_6RD parsing.,Heap-based buffer overflow,,the DHCP client (udhcpc),BusyBox before 1.25.0,remote attackers,vectors involving OPTION_6RD parsing,
CVE-2016-4486,"The rtnl_fill_link_ifmap function in net/core/rtnetlink.c in the Linux kernel before 4.5.5 does not initialize a certain data structure, which allows local users to obtain sensitive information from kernel stack memory by reading a Netlink message.",does not initialize a certain data structure,,The rtnl_fill_link_ifmap function in net/core/rtnetlink.c,the Linux kernel before 4.5.5,local users,reading a Netlink message,obtain sensitive information from kernel stack memory
CVE-2016-10708,"sshd in OpenSSH before 7.4 allows remote attackers to cause a denial of service (NULL pointer dereference and daemon crash) via an out-of-sequence NEWKEYS message, as demonstrated by Honggfuzz, related to kex.c and packet.c.",,,sshd,OpenSSH before 7.4,remote attackers,an out-of-sequence NEWKEYS message,a denial of service (NULL pointer dereference and daemon crash)
CVE-2017-12988,The telnet parser in tcpdump before 4.9.2 has a buffer over-read in print-telnet.c:telnet_parse().,a buffer over-read,,The telnet parser,tcpdump before 4.9.2,,,
CVE-2018-1000868,"WeBid version up to current version 1.2.2 contains a Cross Site Scripting (XSS) vulnerability in user_login.php, register.php that can result in Javascript execution in the user's browser, injection of malicious markup into the page. This attack appear to be exploitable via The victim user must click a malicous link. This vulnerability appears to have been fixed in after commit 256a5f9d3eafbc477dcf77c7682446cc4b449c7f.",a Cross Site Scripting (XSS) vulnerability,,"user_login.php, register.php",WeBid version up to current version 1.2.2,,The victim user must click a malicous link,"Javascript execution in the user's browser, injection of malicious markup into the page"
CVE-2018-1000659,LimeSurvey version 3.14.4 and earlier contains a directory traversal in file upload that allows upload of webshell vulnerability in file upload functionality that can result in remote code execution as authenticated user. This attack appear to be exploitable via An authenticated user can upload a specially crafted zip file to get remote code execution. This vulnerability appears to have been fixed in after commit 72a02ebaaf95a80e26127ee7ee2b123cccce05a7 / version 3.14.4.,a directory traversal,,file upload functionality,LimeSurvey version 3.14.4 and earlier,authenticated user,An authenticated user can upload a specially crafted zip file,remote code execution
CVE-2019-9003,"In the Linux kernel before 4.20.5, attackers can trigger a drivers/char/ipmi/ipmi_msghandler.c use-after-free and OOPS by arranging for certain simultaneous execution of the code, as demonstrated by a ""service ipmievd restart"" loop.",,,,the Linux kernel before 4.20.5,,arranging for certain simultaneous execution of the code,a drivers/char/ipmi/ipmi_msghandler.c use-after-free and OOPS
CVE-2018-1000050,"Sean Barrett stb_vorbis version 1.12 and earlier contains a Buffer Overflow vulnerability in All vorbis decoding paths. that can result in memory corruption, denial of service, comprised execution of host program. This attack appear to be exploitable via Victim must open a specially crafted Ogg Vorbis file. This vulnerability appears to have been fixed in 1.13.",a Buffer Overflow vulnerability,,,Sean Barrett stb_vorbis version 1.12 and earlier,,Victim must open a specially crafted Ogg Vorbis file,"memory corruption, denial of service, comprised execution of host program"
CVE-2012-2674,"Multiple integer overflows in the (1) chk_malloc, (2) leak_malloc, and (3) leak_memalign functions in libc/bionic/malloc_debug_leak.c in Bionic (libc) for Android, when libc.debug.malloc is set, make it easier for context-dependent attackers to perform memory-related attacks such as buffer overflows via a large size value, which causes less memory to be allocated than expected.",Multiple integer overflows,,"the (1) chk_malloc, (2) leak_malloc, and (3) leak_memalign functions in libc/bionic/malloc_debug_leak.c in Bionic (libc)",Android,context-dependent attackers,a large size value,perform memory-related attacks
CVE-2017-15846,"In the video_ioctl2() function in the camera driver in Android for MSM, Firefox OS for MSM, and QRD Android before 2017-09-16, an untrusted pointer dereference may potentially occur.",,,the video_ioctl2() function in the camera driver,"Android for MSM, Firefox OS for MSM, and QRD Android before 2017-09-16",,,an untrusted pointer dereference
CVE-2014-8324,network.c in Aircrack-ng before 1.2 Beta 3 allows remote attackers to cause a denial of service (segmentation fault) via a response with a crafted length parameter.,,,network.c,Aircrack-ng before 1.2 Beta 3,remote attackers,a response with a crafted length parameter,a denial of service (segmentation fault)
CVE-2014-8540,The groups API in GitLab 6.x and 7.x before 7.4.3 allows remote authenticated guest users to modify ownership of arbitrary groups by leveraging improper permission checks.,,,The groups API,GitLab 6.x and 7.x before 7.4.3,remote authenticated guest users,leveraging improper permission checks,modify ownership of arbitrary groups
CVE-2018-14017,The r_bin_java_annotation_new function in shlr/java/class.c in radare2 2.7.0 allows remote attackers to cause a denial of service (heap-based buffer over-read and application crash) via a crafted .class file because of missing input validation in r_bin_java_line_number_table_attr_new.,,,The r_bin_java_annotation_new function in shlr/java/class.c,radare2 2.7.0,remote attackers,a crafted .class file,a denial of service (heap-based buffer over-read and application crash)
CVE-2012-1584,"Integer overflow in the mid function in toolkit/tbytevector.cpp in TagLib 1.7 and earlier allows context-dependent attackers to cause a denial of service (application crash) via a crafted file header field in a media file, which triggers a large memory allocation.",Integer overflow,,the mid function in toolkit/tbytevector.cpp in TagLib 1.7 and earlier,,context-dependent attackers,a crafted file header field in a media file,a large memory allocation
CVE-2014-0069,"The cifs_iovec_write function in fs/cifs/file.c in the Linux kernel through 3.13.5 does not properly handle uncached write operations that copy fewer than the requested number of bytes, which allows local users to obtain sensitive information from kernel memory, cause a denial of service (memory corruption and system crash), or possibly gain privileges via a writev system call with a crafted pointer.",does not properly handle uncached write operations that copy fewer than the requested number of bytes,,The cifs_iovec_write function in fs/cifs/file.c,the Linux kernel through 3.13.5,local users,a writev system call with a crafted pointer,"obtain sensitive information from kernel memory, cause a denial of service (memory corruption and system crash), or possibly gain privileges"
CVE-2018-16644,"There is a missing check for length in the functions ReadDCMImage of coders/dcm.c and ReadPICTImage of coders/pict.c in ImageMagick 7.0.8-11, which allows remote attackers to cause a denial of service via a crafted image.",a missing check for length,,the functions ReadDCMImage of coders/dcm.c and ReadPICTImage of coders/pict.c,ImageMagick 7.0.8-11,remote attackers,a crafted image,a denial of service
CVE-2017-15733,"In phpMyFAQ before 2.9.9, there is Cross-Site Request Forgery (CSRF) in admin/ajax.attachment.php and admin/att.main.php.",Cross-Site Request Forgery (CSRF),,admin/ajax.attachment.php and admin/att.main.php,phpMyFAQ before 2.9.9,,,
CVE-2017-9984,"The snd_msnd_interrupt function in sound/isa/msnd/msnd_pinnacle.c in the Linux kernel through 4.11.7 allows local users to cause a denial of service (over-boundary access) or possibly have unspecified other impact by changing the value of a message queue head pointer between two kernel reads of that value, aka a ""double fetch"" vulnerability.","""double fetch"" vulnerability",,The snd_msnd_interrupt function in sound/isa/msnd/msnd_pinnacle.c,the Linux kernel through 4.11.7,local users,changing the value of a message queue head pointer between two kernel reads of that value,a denial of service (over-boundary access) or possibly have unspecified other impact
CVE-2017-15212,"In Kanboard before 1.0.47, by altering form data, an authenticated user can at least see the names of tags of a private project of another user.",,,,Kanboard before 1.0.47,an authenticated user,altering form data,at least see the names of tags of a private project of another user
CVE-2013-6044,"The is_safe_url function in utils/http.py in Django 1.4.x before 1.4.6, 1.5.x before 1.5.2, and 1.6 before beta 2 treats a URL's scheme as safe even if it is not HTTP or HTTPS, which might introduce cross-site scripting (XSS) or other vulnerabilities into Django applications that use this function, as demonstrated by ""the login view in django.contrib.auth.views"" and the javascript: scheme.",cross-site scripting (XSS) or other vulnerabilities,,The is_safe_url function in utils/http.py,"Django 1.4.x before 1.4.6, 1.5.x before 1.5.2, and 1.6 before beta 2",,,
CVE-2012-0793,"Moodle 1.9.x before 1.9.16, 2.0.x before 2.0.7, 2.1.x before 2.1.4, and 2.2.x before 2.2.1 allows remote attackers to view the profile images of arbitrary user accounts via unspecified vectors.",,,,"Moodle 1.9.x before 1.9.16, 2.0.x before 2.0.7, 2.1.x before 2.1.4, and 2.2.x before 2.2.1",remote attackers,,view the profile images of arbitrary user accounts
CVE-2009-1897,"The tun_chr_poll function in drivers/net/tun.c in the tun subsystem in the Linux kernel 2.6.30 and 2.6.30.1, when the -fno-delete-null-pointer-checks gcc option is omitted, allows local users to gain privileges via vectors involving a NULL pointer dereference and an mmap of /dev/net/tun, a different vulnerability than CVE-2009-1894.",,,The tun_chr_poll function in drivers/net/tun.c in the tun subsystem,the Linux kernel 2.6.30 and 2.6.30.1,local users,vectors involving a NULL pointer dereference and an mmap of /dev/net/tun,gain privileges
CVE-2016-9022,Exponent CMS before 2.6.0 has improper input validation in usersController.php.,improper input validation,,usersController.php,Exponent CMS before 2.6.0,,,
CVE-2017-13016,The ISO ES-IS parser in tcpdump before 4.9.2 has a buffer over-read in print-isoclns.c:esis_print().,a buffer over-read,,The ISO ES-IS parser,tcpdump before 4.9.2,,,
CVE-2020-8937,"An arbitrary memory overwrite vulnerability in Asylo versions up to 0.6.0 allows an attacker to make a host call to enc_untrusted_create_wait_queue that uses a pointer queue that relies on UntrustedLocalMemcpy, which fails to validate where the pointer is located. This allows an attacker to write memory values from within the enclave. We recommend upgrading past commit a37fb6a0e7daf30134dbbf357c9a518a1026aa02",An arbitrary memory overwrite vulnerability,,,Asylo versions up to 0.6.0,,make a host call to enc_untrusted_create_wait_queue that uses a pointer queue that relies on UntrustedLocalMemcpy,write memory values from within the enclave
CVE-2019-15917,An issue was discovered in the Linux kernel before 5.0.5. There is a use-after-free issue when hci_uart_register_dev() fails in hci_uart_set_proto() in drivers/bluetooth/hci_ldisc.c.,a use-after-free issue,,hci_uart_set_proto() in drivers/bluetooth/hci_ldisc.c,the Linux kernel before 5.0.5,,,
CVE-2020-16296,A buffer overflow vulnerability in GetNumWrongData() in contrib/lips4/gdevlips.c of Artifex Software GhostScript v9.50 allows a remote attacker to cause a denial of service via a crafted PDF file. This is fixed in v9.51.,A buffer overflow vulnerability,,GetNumWrongData() in contrib/lips4/gdevlips.c,Artifex Software GhostScript v9.50,a remote attacker,a crafted PDF file,a denial of service
CVE-2014-9645,"The add_probe function in modutils/modprobe.c in BusyBox before 1.23.0 allows local users to bypass intended restrictions on loading kernel modules via a / (slash) character in a module name, as demonstrated by an ""ifconfig /usbserial up"" command or a ""mount -t /snd_pcm none /"" command.",,,The add_probe function in modutils/modprobe.c,BusyBox before 1.23.0,local users,a / (slash) character in a module name,bypass intended restrictions on loading kernel modules
CVE-2019-15945,OpenSC before 0.20.0-rc1 has an out-of-bounds access of an ASN.1 Bitstring in decode_bit_string in libopensc/asn1.c.,an out-of-bounds access of an ASN.1 Bitstring,,decode_bit_string in libopensc/asn1.c,OpenSC before 0.20.0-rc1,,,
CVE-2020-15201,"In Tensorflow before version 2.3.1, the `RaggedCountSparseOutput` implementation does not validate that the input arguments form a valid ragged tensor. In particular, there is no validation that the values in the `splits` tensor generate a valid partitioning of the `values` tensor. Hence, the code is prone to heap buffer overflow. If `split_values` does not end with a value at least `num_values` then the `while` loop condition will trigger a read outside of the bounds of `split_values` once `batch_idx` grows too large. The issue is patched in commit 3cbb917b4714766030b28eba9fb41bb97ce9ee02 and is released in TensorFlow version 2.3.1.",does not validate that the input arguments form a valid ragged tensor,,the `RaggedCountSparseOutput` implementation,Tensorflow before version 2.3.1,,,a read outside of the bounds of `split_values` once `batch_idx` grows too large
CVE-2011-1585,"The cifs_find_smb_ses function in fs/cifs/connect.c in the Linux kernel before 2.6.36 does not properly determine the associations between users and sessions, which allows local users to bypass CIFS share authentication by leveraging a mount of a share by a different user.",does not properly determine the associations between users and sessions,,The cifs_find_smb_ses function in fs/cifs/connect.c,the Linux kernel before 2.6.36,local users,leveraging a mount of a share by a different user,bypass CIFS share authentication
CVE-2019-13391,"In ImageMagick 7.0.8-50 Q16, ComplexImages in MagickCore/fourier.c has a heap-based buffer over-read because of incorrect calls to GetCacheViewVirtualPixels.",a heap-based buffer over-read,incorrect calls to GetCacheViewVirtualPixels,ComplexImages in MagickCore/fourier.c,ImageMagick 7.0.8-50 Q16,,,
CVE-2015-2304,Absolute path traversal vulnerability in bsdcpio in libarchive 3.1.2 and earlier allows remote attackers to write to arbitrary files via a full pathname in an archive.,Absolute path traversal vulnerability,,bsdcpio in libarchive 3.1.2 and earlier,,remote attackers,a full pathname in an archive,write to arbitrary files
CVE-2020-10247,MISP 2.4.122 has Persistent XSS in the sighting popover tool. This is related to app/View/Elements/Events/View/sighting_field.ctp.,Persistent XSS,,the sighting popover tool,MISP 2.4.122,,,
CVE-2018-20975,Fat Free CRM before 0.18.1 has XSS in the tags_helper in app/helpers/tags_helper.rb.,XSS,,the tags_helper in app/helpers/tags_helper.rb,Fat Free CRM before 0.18.1,,,
CVE-2017-13035,The ISO IS-IS parser in tcpdump before 4.9.2 has a buffer over-read in print-isoclns.c:isis_print_id().,a buffer over-read,,The ISO IS-IS parser,tcpdump before 4.9.2,,,
CVE-2010-3015,"Integer overflow in the ext4_ext_get_blocks function in fs/ext4/extents.c in the Linux kernel before 2.6.34 allows local users to cause a denial of service (BUG and system crash) via a write operation on the last block of a large file, followed by a sync operation.",Integer overflow,,the ext4_ext_get_blocks function in fs/ext4/extents.c,the Linux kernel before 2.6.34,local users,a write operation on the last block of a large file,a denial of service (BUG and system crash)
CVE-2017-5511,"coders/psd.c in ImageMagick allows remote attackers to have unspecified impact by leveraging an improper cast, which triggers a heap-based buffer overflow.",,,coders/psd.c,ImageMagick,remote attackers,leveraging an improper cast,a heap-based buffer overflow
CVE-2017-6850,The jp2_cdef_destroy function in jp2_cod.c in JasPer before 2.0.13 allows remote attackers to cause a denial of service (NULL pointer dereference) via a crafted image.,,,The jp2_cdef_destroy function in jp2_cod.c,JasPer before 2.0.13,remote attackers,a crafted image,a denial of service (NULL pointer dereference)
CVE-2015-2679,Multiple SQL injection vulnerabilities in MetalGenix GeniXCMS before 0.0.2 allow remote attackers to execute arbitrary SQL commands via the (1) page parameter to index.php or (2) username parameter to gxadmin/login.php.,Multiple SQL injection vulnerabilities,,,MetalGenix GeniXCMS before 0.0.2,remote attackers,the (1) page parameter to index.php or (2) username parameter to gxadmin/login.php,execute arbitrary SQL commands
CVE-2015-3150,"abrt-dbus in Automatic Bug Reporting Tool (ABRT) allows local users to delete or change the ownership of arbitrary files via the problem directory argument to the (1) ChownProblemDir, (2) DeleteElement, or (3) DeleteProblem method.",,,abrt-dbus,Automatic Bug Reporting Tool (ABRT),local users,"the problem directory argument to the (1) ChownProblemDir, (2) DeleteElement, or (3) DeleteProblem method",delete or change the ownership of arbitrary files
CVE-2017-0521,"An elevation of privilege vulnerability in the Qualcomm camera driver could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Product: Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-32919951. References: QC-CR#1097709.",An elevation of privilege vulnerability,,the Qualcomm camera driver,"Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-32919951",a local malicious application,,execute arbitrary code within the context of the kernel
CVE-2020-15718,"RosarioSIS 6.7.2 is vulnerable to XSS, caused by improper validation of user-supplied input by the PrintSchedules.php script. A remote attacker could exploit this vulnerability using the include_inactive parameter in a crafted URL.",XSS,improper validation of user-supplied input,the PrintSchedules.php script,RosarioSIS 6.7.2,A remote attacker,using the include_inactive parameter in a crafted URL,
CVE-2018-1000809,privacyIDEA version 2.23.1 and earlier contains a Improper Input Validation vulnerability in token validation api that can result in Denial-of-Service. This attack appear to be exploitable via http request with user=<space>&pass= to /validate/check url. This vulnerability appears to have been fixed in 2.23.2.,a Improper Input Validation vulnerability,,token validation api,privacyIDEA version 2.23.1 and earlier,,http request with user=<space>&pass= to /validate/check url,Denial-of-Service
CVE-2021-26927,A flaw was found in jasper before 2.0.25. A null pointer dereference in jp2_decode in jp2_dec.c may lead to program crash and denial of service.,A null pointer dereference,,jp2_decode in jp2_dec.c,jasper before 2.0.25,,,program crash and denial of service
CVE-2014-0038,"The compat_sys_recvmmsg function in net/compat.c in the Linux kernel before 3.13.2, when CONFIG_X86_X32 is enabled, allows local users to gain privileges via a recvmmsg system call with a crafted timeout pointer parameter.",,,The compat_sys_recvmmsg function in net/compat.c,the Linux kernel before 3.13.2,local users,a recvmmsg system call with a crafted timeout pointer parameter,gain privileges
CVE-2018-20650,"A reachable Object::dictLookup assertion in Poppler 0.72.0 allows attackers to cause a denial of service due to the lack of a check for the dict data type, as demonstrated by use of the FileSpec class (in FileSpec.cc) in pdfdetach.",the lack of a check for the dict data type,,A reachable Object::dictLookup assertion,Poppler 0.72.0,,,a denial of service
CVE-2019-15695,"TigerVNC version prior to 1.10.1 is vulnerable to stack buffer overflow, which could be triggered from CMsgReader::readSetCursor. This vulnerability occurs due to insufficient sanitization of PixelFormat. Since remote attacker can choose offset from start of the buffer to start writing his values, exploitation of this vulnerability could potentially result into remote code execution. This attack appear to be exploitable via network connectivity.",stack buffer overflow,insufficient sanitization of PixelFormat,,TigerVNC version prior to 1.10.1,remote attacker,network connectivity,remote code execution
CVE-2012-4520,The django.http.HttpRequest.get_host function in Django 1.3.x before 1.3.4 and 1.4.x before 1.4.2 allows remote attackers to generate and display arbitrary URLs via crafted username and password Host header values.,,,The django.http.HttpRequest.get_host function,Django 1.3.x before 1.3.4 and 1.4.x before 1.4.2,remote attackers,crafted username and password Host header values,generate and display arbitrary URLs
CVE-2017-1000200,tcmu-runner version 1.0.5 to 1.2.0 is vulnerable to a dbus triggered NULL pointer dereference in the tcmu-runner daemon's on_unregister_handler() function resulting in denial of service,NULL pointer dereference,,the tcmu-runner daemon's on_unregister_handler() function,tcmu-runner version 1.0.5 to 1.2.0,,a dbus,denial of service
CVE-2017-8098,"e107 2.1.4 is vulnerable to cross-site request forgery in plugin-installing, meta-changing, and settings-changing. A malicious web page can use forged requests to make e107 download and install a plug-in provided by the attacker.",cross-site request forgery,,"plugin-installing, meta-changing, and settings-changing",e107 2.1.4,,forged requests,make e107 download and install a plug-in provided by the attacker
CVE-2017-18059,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, improper input validation for vdev id in wma_scan_event_callback(), which is received from firmware, leads to potential out of bounds memory read.",improper input validation for vdev id,,wma_scan_event_callback(),"Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel",,,potential out of bounds memory read
CVE-2011-1163,"The osf_partition function in fs/partitions/osf.c in the Linux kernel before 2.6.38 does not properly handle an invalid number of partitions, which might allow local users to obtain potentially sensitive information from kernel heap memory via vectors related to partition-table parsing.",does not properly handle an invalid number of partitions,,The osf_partition function in fs/partitions/osf.c,the Linux kernel before 2.6.38,local users,vectors related to partition-table parsing,obtain potentially sensitive information from kernel heap memory
CVE-2016-5350,"epan/dissectors/packet-dcerpc-spoolss.c in the SPOOLS component in Wireshark 1.12.x before 1.12.12 and 2.x before 2.0.4 mishandles unexpected offsets, which allows remote attackers to cause a denial of service (infinite loop) via a crafted packet.",mishandles unexpected offsets,,epan/dissectors/packet-dcerpc-spoolss.c in the SPOOLS component,Wireshark 1.12.x before 1.12.12 and 2.x before 2.0.4,remote attackers,a crafted packet,a denial of service (infinite loop)
CVE-2017-9783,Cross-site scripting (XSS) vulnerability in ProjectSend (formerly cFTP) before commit 6c3710430be26feb5371cb0377e5355d6f9a27ca allows remote attackers to inject arbitrary web script or HTML via the Description field in a Site name updated.,Cross-site scripting (XSS) vulnerability,,,ProjectSend (formerly cFTP),remote attackers,the Description field in a Site name updated,inject arbitrary web script or HTML
CVE-2018-5332,"In the Linux kernel through 3.2, the rds_message_alloc_sgs() function does not validate a value that is used during DMA page allocation, leading to a heap-based out-of-bounds write (related to the rds_rdma_extra_size function in net/rds/rdma.c).",does not validate a value that is used during DMA page allocation,,the rds_message_alloc_sgs() function,the Linux kernel through 3.2,,,a heap-based out-of-bounds write
CVE-2013-4348,The skb_flow_dissect function in net/core/flow_dissector.c in the Linux kernel through 3.12 allows remote attackers to cause a denial of service (infinite loop) via a small value in the IHL field of a packet with IPIP encapsulation.,,,The skb_flow_dissect function in net/core/flow_dissector.c,the Linux kernel through 3.12,remote attackers,a small value in the IHL field of a packet with IPIP encapsulation,a denial of service (infinite loop)
CVE-2018-8729,Multiple cross-site scripting (XSS) vulnerabilities in the Activity Log plugin before 2.4.1 for WordPress allow remote attackers to inject arbitrary JavaScript or HTML via a title that is not escaped.,Multiple cross-site scripting (XSS) vulnerabilities,,the Activity Log plugin before 2.4.1,WordPress,remote attackers,a title that is not escaped,inject arbitrary JavaScript or HTML
CVE-2017-12986,The IPv6 routing header parser in tcpdump before 4.9.2 has a buffer over-read in print-rt6.c:rt6_print().,a buffer over-read,,The IPv6 routing header parser,tcpdump before 4.9.2,,,
CVE-2012-3501,"The squidclamav_check_preview_handler function in squidclamav.c in SquidClamav 5.x before 5.8 and 6.x before 6.7 passes an unescaped URL to a system command call, which allows remote attackers to cause a denial of service (daemon crash) via a URL with certain characters, as demonstrated using %0D or %0A.",passes an unescaped URL to a system command call,,The squidclamav_check_preview_handler function in squidclamav.c,SquidClamav 5.x before 5.8 and 6.x before 6.7,remote attackers,a URL with certain characters,a denial of service (daemon crash)
CVE-2018-5864,"While processing a WMI_APFIND event in all Android releases from CAF using the Linux kernel (Android for MSM, Firefox OS for MSM, QRD Android) before security patch level 2018-07-05, a buffer over-read and information leak can potentially occur.",,,,"all Android releases from CAF using the Linux kernel (Android for MSM, Firefox OS for MSM, QRD Android) before security patch level 2018-07-05",,,a buffer over-read and information leak
CVE-2017-16534,The cdc_parse_cdc_header function in drivers/usb/core/message.c in the Linux kernel before 4.13.6 allows local users to cause a denial of service (out-of-bounds read and system crash) or possibly have unspecified other impact via a crafted USB device.,,,The cdc_parse_cdc_header function in drivers/usb/core/message.c,the Linux kernel before 4.13.6,local users,a crafted USB device,a denial of service (out-of-bounds read and system crash) or possibly have unspecified other impact
CVE-2013-4237,sysdeps/posix/readdir_r.c in the GNU C Library (aka glibc or libc6) 2.18 and earlier allows context-dependent attackers to cause a denial of service (out-of-bounds write and crash) or possibly execute arbitrary code via a crafted (1) NTFS or (2) CIFS image.,,,sysdeps/posix/readdir_r.c in the GNU C Library (aka glibc or libc6) 2.18 and earlier,,context-dependent attackers,a crafted (1) NTFS or (2) CIFS image,a denial of service (out-of-bounds write and crash) or possibly execute arbitrary code
CVE-2020-24917,osTicket before 1.14.3 allows XSS via a crafted filename to DraftAjaxAPI::_uploadInlineImage() in include/ajax.draft.php.,,,include/ajax.draft.php,osTicket before 1.14.3,,a crafted filename to DraftAjaxAPI::_uploadInlineImage(),XSS
CVE-2018-14468,The FRF.16 parser in tcpdump before 4.9.3 has a buffer over-read in print-fr.c:mfr_print().,a buffer over-read,,The FRF.16 parser,tcpdump before 4.9.3,,,
CVE-2015-3212,"Race condition in net/sctp/socket.c in the Linux kernel before 4.1.2 allows local users to cause a denial of service (list corruption and panic) via a rapid series of system calls related to sockets, as demonstrated by setsockopt calls.",Race condition,,net/sctp/socket.c,the Linux kernel before 4.1.2,local users,a rapid series of system calls related to sockets,a denial of service (list corruption and panic)
CVE-2015-0856,"daemon/Greeter.cpp in sddm before 0.13.0 does not properly disable the KDE crash handler, which allows local users to gain privileges by crashing a greeter when using certain themes, as demonstrated by the plasma-workspace breeze theme.",does not properly disable the KDE crash handler,,daemon/Greeter.cpp,sddm before 0.13.0,local users,crashing a greeter when using certain themes,gain privileges
